2013/11/26 22:41:40 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/11/26 22:41:40 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 22:41:40 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 22:41:40 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 22:41:41 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 22:41:41 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 22:41:41 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 22:42:29 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 22:42:29 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 22:42:29 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/26 22:42:29 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : User bid 
2013/11/26 22:42:29 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group User bid. 
2013/11/26 22:42:29 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/11/26 22:42:29 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/11/26 22:42:29 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 22:42:29 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 22:42:29 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 22:42:29 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 22:42:29 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 22:42:29 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 22:43:37 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 22:43:37 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 22:43:37 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/26 22:43:38 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : User bid 
2013/11/26 22:43:38 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group User bid. 
2013/11/26 22:43:38 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/11/26 22:43:38 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/11/26 22:43:38 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 22:43:38 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 22:43:38 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 22:43:38 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 22:43:38 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 22:43:38 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 22:44:23 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 22:44:23 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 22:44:23 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/26 22:44:23 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : User bid 
2013/11/26 22:44:23 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group User bid. 
2013/11/26 22:44:23 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/11/26 22:44:23 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/11/26 22:44:23 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 22:44:23 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 22:44:23 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 22:44:23 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 22:44:23 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 22:44:23 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 22:45:37 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 22:45:37 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 22:45:37 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/26 22:45:37 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : User bid 
2013/11/26 22:45:37 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group User bid. 
2013/11/26 22:45:37 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/11/26 22:45:37 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/11/26 22:45:37 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 22:45:37 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 22:45:37 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 22:45:38 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 22:45:38 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 22:45:38 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 22:50:32 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 22:50:32 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 22:50:32 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/26 22:50:32 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : User bid 
2013/11/26 22:50:32 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group User bid. 
2013/11/26 22:50:32 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/11/26 22:50:32 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/11/26 22:50:32 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 22:50:32 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 22:50:32 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 22:50:32 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 22:50:32 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 22:50:32 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 22:54:57 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 22:54:57 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 22:54:57 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/26 22:54:57 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : User bid 
2013/11/26 22:54:57 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group User bid. 
2013/11/26 22:54:57 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/11/26 22:54:57 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/11/26 22:54:57 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 22:54:57 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 22:54:57 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 22:54:58 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 22:54:58 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 22:54:58 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 23:07:34 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 23:07:34 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 23:07:34 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/26 23:07:34 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : User bid 
2013/11/26 23:07:34 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group User bid. 
2013/11/26 23:07:34 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/11/26 23:07:34 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/11/26 23:07:34 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 23:07:34 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 23:07:34 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 23:07:34 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 23:07:34 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 23:07:34 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 23:10:01 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 23:10:01 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 23:10:01 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/26 23:10:01 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : User bid 
2013/11/26 23:10:01 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group User bid. 
2013/11/26 23:10:01 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/11/26 23:10:01 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/11/26 23:10:01 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 23:10:01 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 23:10:01 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 23:10:01 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 23:10:01 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 23:10:01 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 23:10:35 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 23:10:35 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 23:10:35 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/26 23:10:35 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : User bid 
2013/11/26 23:10:35 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group User bid. 
2013/11/26 23:10:35 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/11/26 23:10:35 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/11/26 23:10:35 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 23:10:35 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 23:10:35 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 23:10:35 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 23:10:35 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 23:10:35 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 23:11:13 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 23:11:13 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 23:11:13 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/26 23:11:13 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : User bid 
2013/11/26 23:11:13 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group User bid. 
2013/11/26 23:11:13 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/11/26 23:11:13 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/11/26 23:11:13 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 23:11:13 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 23:11:13 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 23:11:13 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 23:11:13 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 23:11:13 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 23:11:40 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
